Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
685,0,4467.026,0.96559,73.19664,30732.06971,19.71163,1.47208,1.83193,1.51343,0.1587323186,0.124628396,0.1587323186,0.124628396
686,13.9677,4467.026,0.96559,73.19664,30732.06971,19.71163,1.47208,1.83193,1.51343,-2.2980939375,-1.0255006798,3.8807598889,2.5375408743
687,16.23625,4467.026,0.96559,73.19664,30732.06971,19.71163,1.47208,1.83193,1.51343,-2.7534758344,-1.2364883108,4.3075897005,2.8003896748
688,21.1653,4467.026,0.96559,73.19664,30732.06971,19.71163,1.47208,1.83193,1.51343,-3.4562456635,-1.8302579206,5.3259844863,3.33994241
689,0,4548.62672,1.03133,81.38358,33008.45058,19.15074,1.04403,1.52825,1.03354,0.1093671131,0.0798320738,0.1093671131,0.0798320738
690,11.36916,4548.62672,1.03133,81.38358,33008.45058,19.15074,1.04403,1.52825,1.03354,-1.6335205381,-0.6950015523,2.8093630117,1.8237380723
691,18.63371,4548.62672,1.03133,81.38358,33008.45058,19.15074,1.04403,1.52825,1.03354,-2.7198889218,-1.4882643512,4.4830968187,2.5943437941
692,22.15267,4548.62672,1.03133,81.38358,33008.45058,19.15074,1.04403,1.52825,1.03354,-3.0167161134,-1.8643194301,5.5486849617,2.9720791289
693,0,2401.97123,0.99221,40.16834,33479.08765,21.8843,1.18101,1.14108,1.34199,0.170740318,0.1179637496,0.170740318,0.1179637496
694,14.68401,2401.97123,0.99221,40.16834,33479.08765,21.8843,1.18101,1.14108,1.34199,-1.3226824932,-0.5182048212,2.0412801777,1.1997362255
695,16.87325,2401.97123,0.99221,40.16834,33479.08765,21.8843,1.18101,1.14108,1.34199,-1.5633540182,-0.6448657016,2.2818494367,1.3264078207
696,22.12313,2401.97123,0.99221,40.16834,33479.08765,21.8843,1.18101,1.14108,1.34199,-2.1220165038,-0.9594675186,2.8668843446,1.6308017579
697,0,2484.45577,0.95961,100.6757,34258.97434,21.062,1.34042,1.69947,0.93733,0.1323809735,0.1032264249,0.1323809735,0.1032264249
698,11.3898,2484.45577,0.95961,100.6757,34258.97434,21.062,1.34042,1.69947,0.93733,-1.2474133791,-0.3231010763,1.1402335949,1.2150600204
699,18.59519,2484.45577,0.95961,100.6757,34258.97434,21.062,1.34042,1.69947,0.93733,-2.084051093,-0.7728356485,1.993565226,1.6618113705
700,25.54074,2484.45577,0.95961,100.6757,34258.97434,21.062,1.34042,1.69947,0.93733,-2.8744596845,-1.2094735955,2.8583987923,2.0901696521
701,0,3840.35581,1.01358,64.06099,32873.16941,18.52071,0.83032,1.22244,1.33356,0.0942004362,0.0617718897,0.0942004362,0.0617718897
702,13.00624,3840.35581,1.01358,64.06099,32873.16941,18.52071,0.83032,1.22244,1.33356,-1.4449317295,-0.7455753977,2.8304355369,1.4997508275
703,18.51054,3840.35581,1.01358,64.06099,32873.16941,18.52071,0.83032,1.22244,1.33356,-2.1580248424,-1.2087956462,3.8726680501,2.001214868
