Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
167,18,5000,0.9,25,37000,17,0.8,1,1.6,-2.1368286172,-1.3513518226,5.4084486046,2.4698311485
168,26,5000,0.9,25,37000,17,0.8,1,1.6,-3.0981326703,-2.0514053061,8.221964417,3.5002103477
169,0,5000,0.9,75,30000,17,0.8,1,1.6,0.1104102207,0.0671316279,0.1104102207,0.0671316279
170,10,5000,0.9,75,30000,17,0.8,1,1.6,-1.3078161361,-0.6729684499,2.7498912683,1.4079055607
171,18,5000,0.9,75,30000,17,0.8,1,1.6,-1.9520059641,-1.3296711572,5.5548500704,2.434170834
172,26,5000,0.9,75,30000,17,0.8,1,1.6,-2.7838373759,-2.0020726373,8.8716777117,3.4979890986
173,0,5000,0.9,75,37000,17,0.8,1,1.6,0.1095016068,0.0678779512,0.1095016068,0.0678779512
174,10,5000,0.9,75,37000,17,0.8,1,1.6,-1.2937569839,-0.664454805,2.8045345347,1.4785100432
175,18,5000,0.9,75,37000,17,0.8,1,1.6,-1.9289519822,-1.3220413044,5.6041748232,2.487051301
176,26,5000,0.9,75,37000,17,0.8,1,1.6,-2.7554184492,-1.9944025865,8.9401525712,3.542369594
177,0,5000,1.1,25,30000,17,0.8,1,1.6,0.0462705566,0.0267135562,0.0462705566,0.0267135562
178,10,5000,1.1,25,30000,17,0.8,1,1.6,-1.3734639588,-0.6496582039,2.6307480528,1.4844192791
179,18,5000,1.1,25,30000,17,0.8,1,1.6,-2.1835890174,-1.3322300468,5.1600462077,2.484388174
180,26,5000,1.1,25,30000,17,0.8,1,1.6,-3.1123223792,-2.0221204848,8.0006522919,3.5180374363
181,0,5000,1.1,25,37000,17,0.8,1,1.6,0.0463587171,0.0267685743,0.0463587171,0.0267685743
182,10,5000,1.1,25,37000,17,0.8,1,1.6,-1.3720970364,-0.6490268263,2.6376921403,1.4882603572
183,18,5000,1.1,25,37000,17,0.8,1,1.6,-2.1784781334,-1.3306935133,5.1761948544,2.490306461
184,26,5000,1.1,25,37000,17,0.8,1,1.6,-3.1023354538,-2.0199221181,8.0298414805,3.5254170225
185,0,5000,1.1,75,30000,17,0.8,1,1.6,0.0438405125,0.0252503574,0.0438405125,0.0252503574
186,10,5000,1.1,75,30000,17,0.8,1,1.6,-1.5211943946,-0.6866189451,2.3170522117,1.3690695701
187,18,5000,1.1,75,30000,17,0.8,1,1.6,-2.030485457,-1.3148809862,5.2172940687,2.4196884689
188,26,5000,1.1,75,30000,17,0.8,1,1.6,-2.7783560425,-1.9708238657,8.6318847677,3.5070862323
189,0,5000,1.1,75,37000,17,0.8,1,1.6,0.0439437477,0.0253148698,0.0439437477,0.0253148698
190,10,5000,1.1,75,37000,17,0.8,1,1.6,-1.5206925782,-0.6855630631,2.3195467356,1.3744528925
191,18,5000,1.1,75,37000,17,0.8,1,1.6,-2.020990786,-1.311677516,5.2425307838,2.429864083
192,26,5000,1.1,75,37000,17,0.8,1,1.6,-2.7595515951,-1.9664145465,8.6955515819,3.5199476412
193,0,2000,0.9,25,30000,17,0.8,1.5,0.8,0.0899051225,0.064756202,0.0899051225,0.064756202
194,10,2000,0.9,25,30000,17,0.8,1.5,0.8,-0.501539236,-0.2374092608,1.1162662183,0.6820099745
195,18,2000,0.9,25,30000,17,0.8,1.5,0.8,-1.157629775,-0.6015423,1.8502424801,1.052423232
196,26,2000,0.9,25,30000,17,0.8,1.5,0.8,-1.5416507666,-0.9588922798,2.7932010596,1.4241364399
197,0,2000,0.9,25,37000,17,0.8,1.5,0.8,0.089722412,0.0646157283,0.089722412,0.0646157283
198,10,2000,0.9,25,37000,17,0.8,1.5,0.8,-0.5007274625,-0.2372859594,1.1179443271,0.6827569933
199,18,2000,0.9,25,37000,17,0.8,1.5,0.8,-1.1571089523,-0.6015389161,1.8526748767,1.0535648862
200,26,2000,0.9,25,37000,17,0.8,1.5,0.8,-1.540705683,-0.958892983,2.7974013005,1.4255199441
201,0,2000,0.9,75,30000,17,0.8,1.5,0.8,0.0920712582,0.0670577408,0.0920712582,0.0670577408
202,10,2000,0.9,75,30000,17,0.8,1.5,0.8,-0.8123008637,-0.2246680876,0.6417692367,0.7719931579
